BIBLIOTHÈQUE	bibliothèque	NOUN	O	O	O
NATIONALE	national	ADJ	O	O	O
TROISIÈME	troisième	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
FIN	fin	NOUN	O	O	O
DE	de	ADP	O	O	O
L'	le	DET	O	O	O
ISLAM	islam	PROPN	O	O	O
DEVANT	devoir	VERB	O	O	O
PARIS	paris	PROPN	O	O	O

-	-	PUNCT	O	O	O
 	 	SPACE	O	O	O
-	-	PUNCT	O	O	O

-	-	PUNCT	O	O	O
 	 	SPACE	O	O	O
CHAPITRE	chapitre	NOUN	O	O	O
PREMIER	premier	ADJ	O	O	O

Devant	devant	ADP	O	O	O
le	le	DET	O	O	O
Bosphore	bosphore	PROPN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Les	le	DET	O	O	O
murs	mur	NOUN	O	O	O
du	de	ADP	O	O	O
harem	harem	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Le	le	DET	O	O	O
mal	mal	NOUN	O	O	O
du	de	ADP	O	O	O
pays	pays	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Le	le	DET	O	O	O
docteur	docteur	NOUN	O	O	O
Kaddour	kaddour	PROPN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Les	le	DET	O	O	O
nouveaux	nouveau	ADJ	O	O	O
alliés	allié	NOUN	O	O	O
du	de	ADP	O	O	O
Sultan	sultan	PROPN	O	O	O
:	:	PUNCT	O	O	O
peste	peste	NOUN	O	O	O
,	,	PUNCT	O	O	O
choléra	choléra	NOUN	O	O	O
asiatique	asiatique	ADJ	O	O	O
,	,	PUNCT	O	O	O
vomito	vomito	PROPN	O	O	O
negro	negro	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Essais	essai	NOUN	O	O	O
infructueux	infructueux	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Une	un	DET	O	O	O
idée	idée	NOUN	O	O	O
de	de	ADP	O	O	O
Saladin	saladin	PROPN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Ballon	ballon	NOUN	O	O	O
lointain	lointain	ADJ	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Hékim	hékim	PROPN	O	O	O
,	,	PUNCT	O	O	O
chef	chef	NOUN	O	O	O
des	de	ADP	O	O	O
eunuques	eunuque	NOUN	O	O	O
.	.	PUNCT	O	O	O

Dans	dans	ADP	O	O	O
son	son	DET	O	O	O
immortelle	immortel	ADJ	O	O	O
Iliade	iliade	PROPN	O	O	O
,	,	PUNCT	O	O	O
Homère	homère	PROPN	O	O	O
nous	nous	PRON	O	O	O
montre	montre	VERB	O	O	O
Jupiter	jupiter	PROPN	O	O	O
environné	environner	VERB	O	O	O
des	de	ADP	O	O	O
dieux	dieu	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Olympe	olympe	PROPN	O	O	O
et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
foudre	foudre	NOUN	O	O	O
en	en	ADP	O	O	O
main	main	NOUN	O	O	O
,	,	PUNCT	O	O	O
assistant	assister	VERB	O	O	O
impassible	impassible	ADJ	O	O	O
aux	à	ADP	O	O	O
luttes	lutte	NOUN	O	O	O
héroïques	héroïque	ADJ	O	O	O
entre	entrer	ADP	O	O	O
Grecs	grec	NOUN	O	O	O
et	et	CCONJ	O	O	O
Troyens	troyen	NOUN	O	O	O
.	.	PUNCT	O	O	O

C'	ce	PRON	O	O	O
était	être	AUX	O	O	O
non	non	ADV	O	O	O
loin	loin	ADV	O	O	O
de	de	ADP	O	O	O
là	là	ADV	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
quelque	quelque	DET	O	O	O
distance	distance	NOUN	O	O	O
de	de	ADP	O	O	O
cette	ce	DET	O	O	O
plaine	plaine	NOUN	O	O	O
fameuse	fameux	ADJ	O	O	O
,	,	PUNCT	O	O	O
ubi	ubi	PROPN	O	O	O
Troja	troja	PROPN	O	O	O
fuit	fuir	VERB	O	O	O
,	,	PUNCT	O	O	O
où	où	PRON	O	O	O
coule	coule	VERB	O	O	O
encore	encore	ADV	O	O	O
le	le	DET	O	O	O
Simoïs	simoïs	PROPN	O	O	O
et	et	CCONJ	O	O	O
que	que	PRON	O	O	O
domine	dominer	VERB	O	O	O
le	le	DET	O	O	O
mont	mont	NOUN	O	O	O
Ida	ida	PROPN	O	O	O
,	,	PUNCT	O	O	O
c'	ce	PRON	O	O	O
était	être	AUX	O	O	O
non	non	ADV	O	O	O
loin	loin	ADV	O	O	O
de	de	ADP	O	O	O
cet	ce	DET	O	O	O
observatoire	observatoire	NOUN	O	O	O
des	de	ADP	O	O	O
dieux	dieu	NOUN	O	O	O
et	et	CCONJ	O	O	O
des	de	ADP	O	O	O
déesses	déesse	NOUN	O	O	O
qu'	que	SCONJ	O	O	O
entouré	entourer	VERB	O	O	O
des	de	ADP	O	O	O
chefs	chef	NOUN	O	O	O
noirs	noir	ADJ	O	O	O
,	,	PUNCT	O	O	O
impassible	impassible	ADJ	O	O	O
et	et	CCONJ	O	O	O
