Dans	dans	ADP	O	O	O
les	le	DET	O	O	O
premiers	premier	ADJ	O	O	O
jours	jour	NOUN	O	O	O
de	de	ADP	O	O	O
janvier	janvier	NOUN	O	O	O
1999	1999	NUM	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
Tribuna	tribuna	PROPN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
Chicago	chicago	PROPN	O	O	O
,	,	PUNCT	O	O	O
proposa	proposer	VERB	O	O	O
de	de	ADP	O	O	O
célébrer	célébrer	VERB	O	O	O
solennellement	solennellemer	VERB	O	O	O
le	le	DET	O	O	O
centenaire	centenaire	NOUN	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
découverte	découverte	NOUN	O	O	O
qui	qui	PRON	O	O	O
avait	avoir	AUX	O	O	O
bouleversé	bouleverser	VERB	O	O	O
le	le	DET	O	O	O
monde	monde	NOUN	O	O	O
et	et	CCONJ	O	O	O
produit	produit	NOUN	O	O	O
d'	de	ADP	O	O	O
ineffables	ineffable	ADJ	O	O	O
bienfaits	bienfait	VERB	O	O	O
après	après	ADP	O	O	O
avoir	avoir	AUX	O	O	O
failli	faillir	VERB	O	O	O
amener	amener	VERB	O	O	O
les	le	DET	O	O	O
plus	plus	ADV	O	O	O
épouvantables	épouvantable	ADJ	O	O	O
malheurs	malheur	ADJ	O	O	O
.	.	PUNCT	O	O	O

L'	le	DET	O	O	O
article	article	NOUN	O	O	O
du	de	ADP	O	O	O
journal	journal	NOUN	O	O	O
américain	américain	ADJ	O	O	O
rappelait	rappeler	VERB	O	O	O
succinctement	succinctement	ADV	O	O	O
les	le	DET	O	O	O
faits	fait	NOUN	O	O	O
.	.	PUNCT	O	O	O

Bornons	bornon	NOUN	O	O	O
-	-	PUNCT	O	O	O
nous	nous	PRON	O	O	O
à	à	ADP	O	O	O
le	le	PRON	O	O	O
traduire	traduire	VERB	O	O	O
dans	dans	ADP	O	O	O
ses	son	DET	O	O	O
parties	party	NOUN	O	O	O
essentielles	essentiel	ADJ	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
verra	voir	VERB	O	O	O
par	par	ADP	O	O	O
les	le	DET	O	O	O
événements	événement	NOUN	O	O	O
qui	qui	PRON	O	O	O
y	y	PRON	O	O	O
sont	être	AUX	O	O	O
rappelés	rappeler	VERB	O	O	O
et	et	CCONJ	O	O	O
surtout	surtout	ADV	O	O	O
