Voici	voici	VERB	O	O	O
les	le	DET	O	O	O
faits	fait	NOUN	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
leur	son	DET	O	O	O
mystérieuse	mystérieux	ADJ	O	O	O
simplicité	simplicité	ADJ	O	O	O
.	.	PUNCT	O	O	O

Quatre	quatre	NUM	O	O	O
témoins	témoin	NOUN	O	O	O
peuvent	pouvoir	VERB	O	O	O
en	en	ADP	O	O	O
affirmer	affirmer	VERB	O	O	O
l'	le	DET	O	O	O
exactitude	exactitude	NOUN	O	O	O
:	:	PUNCT	O	O	O
Régis	régis	PROPN	O	O	O
Maublanc	maublanc	PROPN	O	O	O
,	,	PUNCT	O	O	O
sa	son	DET	O	O	O
femme	femme	NOUN	O	O	O
,	,	PUNCT	O	O	O
ma	mon	DET	O	O	O
soeur	soeur	NOUN	O	O	O
Suzy	suzy	PROPN	O	O	O
et	et	CCONJ	O	O	O
moi	moi	PRON	O	O	O
.	.	PUNCT	O	O	O

J'	je	PRON	O	O	O
atteste	attester	VERB	O	O	O
ici	ici	ADV	O	O	O
que	que	PRON	O	O	O
nous	nous	PRON	O	O	O
jouissions	jouir	VERB	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
plénitude	plénitude	NOUN	O	O	O
de	de	ADP	O	O	O
nos	notre	DET	O	O	O
facultés	faculté	NOUN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
phénomène	phénomène	NOUN	O	O	O
s'	se	PRON	O	O	O
est	être	AUX	O	O	O
produit	produire	VERB	O	O	O
à	à	ADP	O	O	O
Paris	paris	PROPN	O	O	O
,	,	PUNCT	O	O	O
chez	chez	ADP	O	O	O
moi	moi	PRON	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
mon	mon	DET	O	O	O
cabinet	cabinet	NOUN	O	O	O
de	de	ADP	O	O	O
travail	travail	NOUN	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
dix	dix	NUM	O	O	O
heures	heure	NOUN	O	O	O
du	de	ADP	O	O	O
soir	soir	NOUN	O	O	O
.	.	PUNCT	O	O	O

Nous	nous	PRON	O	O	O
venions	venir	VERB	O	O	O
de	de	ADP	O	O	O
dîner	dîner	VERB	O	O	O
,	,	PUNCT	O	O	O
mais	mais	CCONJ	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
tiens	tenir	VERB	O	O	O
à	à	ADP	O	O	O
le	le	PRON	O	O	O
faire	faire	AUX	O	O	O
remarquer	remarquer	VERB	O	O	O
,	,	PUNCT	O	O	O
aucun	aucun	DET	O	O	O
excès	excès	NOUN	O	O	O
de	de	ADP	O	O	O
table	table	NOUN	O	O	O
ne	ne	ADV	O	O	O
pouvait	pouvoir	VERB	O	O	O
troubler	troubler	VERB	O	O	O
nos	notre	DET	O	O	O
sens	sens	NOUN	O	O	O
.	.	PUNCT	O	O	O

Par	par	ADP	O	O	O
ailleurs	ailleurs	ADV	O	O	O
,	,	PUNCT	O	O	O
nul	nul	NOUN	O	O	O
d'	de	ADP	O	O	O
entre	entrer	ADP	O	O	O
nous	nous	PRON	O	O	O
n'	ne	ADV	O	O	O
avait	avoir	AUX	O	O	O
montré	montrer	VERB	O	O	O
ni	ni	CCONJ	O	O	O
surexcitation	surexcitation	NOUN	O	O	O
ni	ni	CCONJ	O	O	O
fatigue	fatigue	NOUN	O	O	O
.	.	PUNCT	O	O	O

Nous	nous	PRON	O	O	O
étions	être	VERB	O	O	O
parfaitement	parfaitement	ADV	O	O	O
calmes	calme	NOUN	O	O	O
,	,	PUNCT	O	O	O
lucides	lucide	NOUN	O	O	O
.	.	PUNCT	O	O	O

L'	le	DET	O	O	O
hypothèse	hypothèse	NOUN	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
hallucination	hallucination	NOUN	O	O	O
collective	collectif	ADJ	O	O	O
est	être	AUX	O	O	O
inadmissible	inadmissible	ADJ	O	O	O
.	.	PUNCT	O	O	O

Nous	nous	PRON	O	O	O
causions	causer	VERB	O	O	O
,	,	PUNCT	O	O	O
avec	avec	ADP	O	O	O
tranquillité	tranquillité	NOUN	O	O	O
,	,	PUNCT	O	O	O
de	de	ADP	O	O	O
choses	chose	NOUN	O	O	O
tout	tout	ADV	O	O	O
à	à	ADP	O	O	O
fait	fait	NOUN	O	O	O
étrangères	étranger	ADJ	O	O	O
à	à	ADP	O	O	O
ce	ce	PRON	O	O	O
que	que	PRON	O	O	O
je	je	PRON	O	O	O
vais	aller	VERB	O	O	O
raconter	raconter	VERB	O	O	O
.	.	PUNCT	O	O	O

Une	un	DET	O	O	O
lumière	lumière	NOUN	O	O	O
sans	sans	ADP	O	O	O
malice	malice	NOUN	O	O	O
éclairait	éclairer	VERB	O	O	O
sincèrement	sincèremer	VERB	O	O	O
la	le	DET	O	O	O
pièce	pièce	NOUN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
dois	devoir	VERB	O	O	O
le	le	PRON	O	O	O
dire	dire	VERB	O	O	O
,	,	PUNCT	O	O	O
est	être	AUX	O	O	O
assez	assez	ADV	O	O	O
confidentielle	confidentiel	ADJ	O	O	O
,	,	PUNCT	O	O	O
retirée	retirer	VERB	O	O	O
,	,	PUNCT	O	O	O
bien	bien	ADV	O	O	O
close	clos	ADJ	O	O	O
.	.	PUNCT	O	O	O

Comme	comme	ADP	O	O	O
chaque	chaque	DET	O	O	O
soir	soir	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
sans	sans	ADP	O	O	O
y	y	PRON	O	O	O
attacher	attacher	VERB	O	O	O
plus	plus	ADV	O	O	O
d'	de	ADP	O	O	O
importance	importance	NOUN	O	O	O
qu'	que	SCONJ	O	O	O
à	à	ADP	O	O	O
l'	le	DET	O	O	O
ordinaire	ordinaire	NOUN	O	O	O
,	,	PUNCT	O	O	O
j'	je	PRON	O	O	O
ouvris	ouvrir	VERB	O	O	O
les	le	DET	O	O	O
battants	battant	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
appareil	appareil	NOUN	O	O	O
radiophonique	radiophonique	ADJ	O	O	O
et	et	CCONJ	O	O	O
j'	je	PRON	O	O	O
en	en	PRON	O	O	O
manoeuvrai	manoeuvrer	VERB	O	O	O
les	le	DET	O	O	O
boutons	bouton	NOUN	O	O	O
.	.	PUNCT	O	O	O

Ce	ce	PRON	O	O	O
que	que	PRON	O	O	O
voyant	voyant	ADV	O	O	O
,	,	PUNCT	O	O	O
Suzy	suzy	PROPN	O	O	O
s'	se	PRON	O	O	O
empara	emparer	VERB	O	O	O
d'	de	ADP	O	O	O
un	un	DET	O	O	O
journal	journal	NOUN	O	O	O
de	de	ADP	O	O	O
T.	t.	NOUN	O	O	O
S.	s.	PROPN	O	O	O
F.	f.	PROPN	O	O	O
et	et	CCONJ	O	O	O
parcourut	parcourir	VERB	O	O	O
les	le	DET	O	O	O
programmes	programme	NOUN	O	O	O
du	de	ADP	O	O	O
jour	jour	NOUN	O	O	O
.	.	PUNCT	O	O	O

Jusqu'	jusque	ADP	O	O	O
ici	ici	ADV	O	O	O
,	,	PUNCT	O	O	O
rien	rien	PRON	O	O	O
que	que	SCONJ	O	O	O
de	de	DET	O	O	O
très	très	ADV	O	O	O
naturel	naturel	ADJ	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
haut	haut	ADJ	O	O	O
-	-	PUNCT	O	O	O
parleur	parleur	NOUN	O	O	O
fit	faire	PRON	O	O	O
entendre	entendre	VERB	O	O	O
ses	son	DET	O	O	O
grincements	grincement	NOUN	O	O	O
accoutumés	accoutumer	VERB	O	O	O
,	,	PUNCT	O	O	O
ses	son	DET	O	O	O
crachements	crachement	NOUN	O	O	O
secs	sec	ADJ	O	O	O
;	;	PUNCT	O	O	O
les	le	DET	O	O	O
chattes	chatte	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
invisible	invisible	ADJ	O	O	O
miau	miau	NOUN	O	O	O
-	-	PUNCT	O	O	O
lèrent	lèrent	ADV	O	O	O
,	,	PUNCT	O	O	O
rageuses	rageur	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
narquoises	narquois	ADJ	O	O	O
.	.	PUNCT	O	O	O

Sur	sur	ADP	O	O	O
les	le	DET	O	O	O
indications	indication	NOUN	O	O	O
de	de	ADP	O	O	O
Suzy	suzy	PROPN	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
cherchai	chercher	VERB	O	O	O
l'	le	DET	O	O	O
accord	accord	NOUN	O	O	O
d'	de	ADP	O	O	O
ondes	onde	NOUN	O	O	O
avec	avec	ADP	O	O	O
le	le	DET	O	O	O
poste	poste	NOUN	O	O	O
de	de	ADP	O	O	O
Toulouse	toulouse	PROPN	O	O	O
.	.	PUNCT	O	O	O

Je	je	PRON	O	O	O
me	me	PRON	O	O	O
rappelle	rappeler	VERB	O	O	O
très	très	ADV	O	O	O
bien	bien	ADV	O	O	O
qu'	que	SCONJ	O	O	O
à	à	ADP	O	O	O
cet	ce	DET	O	O	O
instant	instant	NOUN	O	O	O
,	,	PUNCT	O	O	O
du	de	ADP	O	O	O
fond	fond	NOUN	O	O	O
du	de	ADP	O	O	O
divan	divan	NOUN	O	O	O
où	où	PRON	O	O	O
il	il	PRON	O	O	O
était	être	AUX	O	O	O
assis	asseoir	VERB	O	O	O
,	,	PUNCT	O	O	O
Régis	régis	PROPN	O	O	O
fit	faire	VERB	O	O	O
cette	ce	DET	O	O	O
observation	observation	NOUN	O	O	O
:	:	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Pourquoi	pourquoi	ADV	O	O	O
Toulouse	toulouse	PROPN	O	O	O
?	?	PUNCT	O	O	O

Pourquoi	pourquoi	ADV	O	O	O
un	un	DET	O	O	O
poste	poste	NOUN	O	O	O
quelconque	quelconque	ADJ	O	O	O
?	?	PUNCT	O	O	O

Qu'	que	PRON	O	O	O
y	y	PRON	O	O	O
a	avoir	VERB	O	O	O
-	-	PUNCT	O	O	O
t	t	NOUN	O	O	O
-	-	PUNCT	O	O	O
il	il	PRON	O	O	O
de	de	ADP	O	O	O
plus	plus	ADV	O	O	O
pathétique	pathétique	ADJ	O	O	O
que	que	SCONJ	O	O	O
ces	ce	DET	O	O	O
gémissements	gémissement	NOUN	O	O	O
extraordinaires	extraordinaire	ADJ	O	O	O
qui	qui	PRON	O	O	O
viennent	venir	VERB	O	O	O
on	on	PRON	O	O	O
ne	ne	ADV	O	O	O
sait	savoir	VERB	O	O	O
d'	de	ADP	O	O	O
où	où	ADV	O	O	O
?	?	PUNCT	O	O	O

...	...	PUNCT	O	O	O
Oh	oh	NOUN	O	O	O
!	!	PUNCT	O	O	O

ce	ce	PRON	O	O	O
cri	cri	NOUN	O	O	O
de	de	ADP	O	O	O
douleur	douleur	NOUN	O	O	O
!	!	PUNCT	O	O	O

Ecoutez	ecoutez	PROPN	O	O	O
ça	ça	ADJ	O	O	O
...	...	PUNCT	O	O	O
Et	et	CCONJ	O	O	O
ces	ce	DET	O	O	O
tambours	tambour	NOUN	O	O	O
!	!	PUNCT	O	O	O

...	...	PUNCT	O	O	O
Je	je	PRON	O	O	O
me	me	PRON	O	O	O
retournai	retourner	VERB	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
sourire	sourire	VERB	O	O	O
aux	à	ADP	O	O	O
