PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
I	i	NUM	O	O	O

–	–	PUNCT	O	O	O
Le	le	DET	O	O	O
Quatuor	quatuor	NOUN	O	O	O
Concertant	concertant	ADJ	O	O	O

Lorsqu'	lorsque	SCONJ	O	O	O
un	un	DET	O	O	O
voyage	voyage	NOUN	O	O	O
commence	commencer	VERB	O	O	O
mal	mal	ADV	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
est	être	AUX	O	O	O
rare	rare	ADJ	O	O	O
qu'	que	SCONJ	O	O	O
il	il	PRON	O	O	O
finisse	finir	VERB	O	O	O
bien	bien	ADV	O	O	O
.	.	PUNCT	O	O	O

Tout	tout	ADV	O	O	O
au	au	ADP	O	O	O
moins	moins	ADV	O	O	O
,	,	PUNCT	O	O	O
est	être	AUX	O	O	O
-	-	PRON	O	O	O
ce	ce	PRON	O	O	O
une	un	DET	O	O	O
opinion	opinion	NOUN	O	O	O
qu'	que	PRON	O	O	O
auraient	avoir	VERB	O	O	O
le	le	DET	O	O	O
droit	droit	NOUN	O	O	O
de	de	ADP	O	O	O
soutenir	soutenir	VERB	O	O	O
quatre	quatre	NUM	O	O	O
instrumentistes	instrumentiste	NOUN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
les	le	DET	O	O	O
instruments	instrument	NOUN	O	O	O
gisent	gésir	VERB	O	O	O
sur	sur	ADP	O	O	O
le	le	DET	O	O	O
sol	sol	NOUN	O	O	O
.	.	PUNCT	O	O	O

En	en	ADP	O	O	O
effet	effet	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
coach	coach	NOUN	O	O	O
,	,	PUNCT	O	O	O
dans	dans	ADP	O	O	O
lequel	lequel	PRON	O	O	O
ils	il	PRON	O	O	O
avaient	avoir	AUX	O	O	O
dû	devoir	VERB	O	O	O
prendre	prendre	VERB	O	O	O
place	place	NOUN	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
dernière	dernier	ADJ	O	O	O
station	station	NOUN	O	O	O
du	de	ADP	O	O	O
rail	rail	NOUN	O	O	O
-	-	NOUN	O	O	O
road	road	NOUN	O	O	O
,	,	PUNCT	O	O	O
vient	venir	VERB	O	O	O
de	de	ADP	O	O	O
verser	verser	VERB	O	O	O
brusquement	brusquement	ADV	O	O	O
contre	contre	ADP	O	O	O
le	le	DET	O	O	O
talus	talus	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
route	route	NOUN	O	O	O
.	.	PUNCT	O	O	O

«	«	PUNCT	O	O	O
Personne	personne	NOUN	O	O	O
de	de	ADP	O	O	O
blessé	blessé	NOUN	O	O	O
?	?	PUNCT	O	O	O

…	…	PUNCT	O	O	O
demande	demande	VERB	O	O	O
le	le	DET	O	O	O
premier	premier	ADJ	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
s'	se	PRON	O	O	O
est	être	AUX	O	O	O
les	le	DET	O	O	O
-	-	NOUN	O	O	O
 	 	SPACE	O	O	O
tement	tement	ADV	O	O	O
redressé	redresser	VERB	O	O	O
sur	sur	ADP	O	O	O
ses	son	DET	O	O	O
jambes	jambe	NOUN	O	O	O
.	.	PUNCT	O	O	O

–	–	PUNCT	O	O	O
J'	je	PRON	O	O	O
en	en	PRON	O	O	O
suis	être	AUX	O	O	O
quitte	quitte	ADJ	O	O	O
pour	pour	ADP	O	O	O
une	un	DET	O	O	O
égratignure	égratignure	NOUN	O	O	O
!	!	PUNCT	O	O	O

répond	répondre	VERB	O	O	O
le	le	DET	O	O	O
second	second	ADJ	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
essuyant	essuyer	VERB	O	O	O
sa	son	DET	O	O	O
joue	joue	NOUN	O	O	O
zébrée	zébrer	VERB	O	O	O
par	par	ADP	O	O	O
un	un	DET	O	O	O
éclat	éclat	NOUN	O	O	O
de	de	ADP	O	O	O
verre	verre	NOUN	O	O	O
.	.	PUNCT	O	O	O

–	–	PUNCT	O	O	O
Moi	moi	PRON	O	O	O
pour	pour	ADP	O	O	O
une	un	DET	O	O	O
écorchure	écorchure	NOUN	O	O	O
!	!	PUNCT	O	O	O
»	»	PUNCT	O	O	O
réplique	réplique	VERB	O	O	O
le	le	DET	O	O	O
troisième	troisième	ADJ	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
le	le	DET	O	O	O
mollet	mollet	NOUN	O	O	O
perd	perdre	VERB	O	O	O
quelques	quelque	DET	O	O	O
gouttes	goutte	NOUN	O	O	O
de	de	ADP	O	O	O
sang	sang	NOUN	O	O	O
.	.	PUNCT	O	O	O

Tout	tout	ADJ	O	O	O
cela	celer	PRON	O	O	O
peu	peu	ADV	O	O	O
grave	grave	ADJ	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
somme	somme	NOUN	O	O	O
.	.	PUNCT	O	O	O

«	«	PUNCT	O	O	O
Et	et	CCONJ	O	O	O
mon	mon	DET	O	O	O
violoncelle	violoncelle	NOUN	O	O	O
?	?	PUNCT	O	O	O
…	…	PUNCT	O	O	O
s'	se	PRON	O	O	O
écrie	écrier	VERB	O	O	O
le	le	DET	O	O	O
quatrième	quatrième	ADJ	O	O	O
.	.	PUNCT	O	O	O

Pourvu	pourvoir	PRON	O	O	O
