Comme	comme	ADP	O	O	O
quoi	quoi	PRON	O	O	O
il	il	PRON	O	O	O
est	être	AUX	O	O	O
inutile	inutile	ADJ	O	O	O
de	de	ADP	O	O	O
chercher	chercher	VERB	O	O	O
,	,	PUNCT	O	O	O
même	même	ADV	O	O	O
sur	sur	ADP	O	O	O
les	le	DET	O	O	O
meilleures	meilleur	ADJ	O	O	O
cartes	carte	NOUN	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
petite	petit	ADJ	O	O	O
ville	ville	NOUN	O	O	O
de	de	ADP	O	O	O
Quiquendone	quiquendone	PROPN	O	O	O
.	.	PUNCT	O	O	O

Si	si	SCONJ	O	O	O
vous	vous	PRON	O	O	O
cherchez	chercher	VERB	O	O	O
sur	sur	ADP	O	O	O
une	un	DET	O	O	O
carte	carte	NOUN	O	O	O
des	de	ADP	O	O	O
Flandres	flandres	PROPN	O	O	O
,	,	PUNCT	O	O	O
ancienne	ancien	ADJ	O	O	O
ou	ou	CCONJ	O	O	O
moderne	moderne	ADJ	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
petite	petit	ADJ	O	O	O
ville	ville	NOUN	O	O	O
de	de	ADP	O	O	O
Quiquendone	quiquendone	PROPN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
est	être	AUX	O	O	O
probable	probable	ADJ	O	O	O
que	que	SCONJ	O	O	O
vous	vous	PRON	O	O	O
ne	ne	ADV	O	O	O
l'	le	PRON	O	O	O
y	y	PRON	O	O	O
trouverez	trouver	VERB	O	O	O
pas	pas	ADV	O	O	O
.	.	PUNCT	O	O	O

Quiquendone	quiquendone	PROPN	O	O	O
est	être	AUX	O	O	O
-	-	PRON	O	O	O
elle	lui	PRON	O	O	O
donc	donc	ADV	O	O	O
une	un	DET	O	O	O
cité	cité	NOUN	O	O	O
disparue	disparaître	VERB	O	O	O
?	?	PUNCT	O	O	O

Non	non	ADV	O	O	O
.	.	PUNCT	O	O	O

Une	un	DET	O	O	O
ville	ville	NOUN	O	O	O
à	à	ADP	O	O	O
venir	venir	VERB	O	O	O
?	?	PUNCT	O	O	O

Pas	pas	ADV	O	O	O
davantage	davantage	ADV	O	O	O
.	.	PUNCT	O	O	O

Elle	lui	PRON	O	O	O
existe	exister	VERB	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
dépit	dépit	NOUN	O	O	O
des	de	ADP	O	O	O
géographes	géographe	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
cela	celer	PRON	O	O	O
depuis	depuis	ADP	O	O	O
huit	huit	NUM	O	O	O
à	à	ADP	O	O	O
neuf	neuf	NUM	O	O	O
cents	cent	DET	O	O	O
ans	an	NOUN	O	O	O
.	.	PUNCT	O	O	O

Elle	lui	PRON	O	O	O
compte	compte	VERB	O	O	O
même	même	ADV	O	O	O
deux	deux	DET	O	O	O
mille	mille	NUM	O	O	O
trois	trois	NUM	O	O	O
cent	cent	NUM	O	O	O
quatre	quatre	NUM	O	O	O
-	-	NUM	O	O	O
vingt	vingt	NUM	O	O	O
-	-	NUM	O	O	O
treize	treize	NUM	O	O	O
âmes	âme	NOUN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
admettant	admettre	VERB	O	O	O
une	un	DET	O	O	O
âme	âme	NOUN	O	O	O
par	par	ADP	O	O	O
chaque	chaque	DET	O	O	O
habitant	habitant	NOUN	O	O	O
.	.	PUNCT	O	O	O

Elle	lui	PRON	O	O	O
est	être	AUX	O	O	O
située	situer	VERB	O	O	O
à	à	ADP	O	O	O
treize	treize	NUM	O	O	O
kilomètres	kilomètre	NOUN	O	O	O
et	et	CCONJ	O	O	O
demi	demi	NOUN	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
nord	nord	NOUN	O	O	O
-	-	NOUN	O	O	O
ouest	ouest	NOUN	O	O	O
d'	de	ADP	O	O	O
Audenarde	audenarde	PROPN	O	O	O
et	et	CCONJ	O	O	O
à	à	ADP	O	O	O
quinze	quinze	NUM	O	O	O
kilomètres	kilomètre	NOUN	O	O	O
un	un	DET	O	O	O
quart	quart	NOUN	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
sud	sud	NOUN	O	O	O
-	-	NOUN	O	O	O
est	est	NOUN	O	O	O
de	de	ADP	O	O	O
Bruges	bruges	PROPN	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
pleine	plein	ADJ	O	O	O
Flandre	flandre	PROPN	O	O	O
.	.	PUNCT	O	O	O

Le	le	DET	O	O	O
Vaar	vaar	PROPN	O	O	O
,	,	PUNCT	O	O	O
petit	petit	ADJ	O	O	O
affluent	affluent	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
Escaut	escaut	PROPN	O	O	O
,	,	PUNCT	O	O	O
passe	passer	VERB	O	O	O
sous	sou	ADP	O	O	O
ses	son	DET	O	O	O
trois	trois	NUM	O	O	O
ponts	pont	NOUN	O	O	O
,	,	PUNCT	O	O	O
encore	encore	ADV	O	O	O
recouverts	recouvrir	VERB	O	O	O
d'	de	ADP	O	O	O
une	un	DET	O	O	O
antique	antique	ADJ	O	O	O
toiture	toiture	NOUN	O	O	O
du	de	ADP	O	O	O
Moyen	moyen	ADJ	O	O	O
Âge	âge	PROPN	O	O	O
,	,	PUNCT	O	O	O
comme	comme	ADP	O	O	O
à	à	ADP	O	O	O
Tournai	tournai	PROPN	O	O	O
.	.	PUNCT	O	O	O

On	on	PRON	O	O	O
y	y	PRON	O	O	O
admire	admirer	VERB	O	O	O
un	un	DET	O	O	O
vieux	vieux	ADJ	O	O	O
château	château	NOUN	O	O	O
,	,	PUNCT	O	O	O
dont	dont	PRON	O	O	O
la	le	DET	O	O	O
première	premier	ADJ	O	O	O
pierre	pierre	NOUN	O	O	O
fut	être	AUX	O	O	O
posée	poser	VERB	O	O	O
,	,	PUNCT	O	O	O
en	en	ADP	O	O	O
1197	1197	NUM	O	O	O
,	,	PUNCT	O	O	O
par	par	ADP	O	O	O
le	le	DET	O	O	O
comte	comte	NOUN	O	O	O
Baudouin	baudouin	PROPN	O	O	O
,	,	PUNCT	O	O	O
futur	futur	ADJ	O	O	O
empereur	empereur	NOUN	O	O	O
de	de	ADP	O	O	O
Constantinople	constantinople	PROPN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
un	un	DET	O	O	O
hôtel	hôtel	NOUN	O	O	O
de	de	ADP	O	O	O
ville	ville	NOUN	O	O	O
à	à	ADP	O	O	O
