auteur,titre,date_publication,nb_tokens
About,LeCasDeMGuerin,1862,19140
About,LeNezDUnNotaire,1862,26342
About,LHommeALOreilleCassee,1862,60566
Adam,LeConteFutur,1893,5428
Adam,LeTrust,1910,154354
Adam,LUsineInfernale,1925,19115
Allorge,CielContreTerre,1924,59818
Arosa,LesMysterieusesEtudesDuProfesseurKruhl,1912,5859
Asselineau,LeParadisDesGensDeLettres,1861,6661
AugustinThierry,MarfaLePalimpseste,1887,24718
Austruy,LEupantophone,1904,16651
Avray,VoyageDansLaLuneAvant1900,1892,3407
Balleyguier,SeulSurLOcean,1895,100140
BarilletLagargousse,LaGuerreFinaleHistoireFantastique,1885,45469
Barthe,SimiliaSimilibusOuLaGuerreAuCanada,1916,43550
Beliard,TouteLaNatureDansLaMelee,1918,4832
Bertal,AventuresFantastiquesDeMartialBadochet,1887,14887
Berthoud,LeSecondSoleil,1862,10420
Berthoud,LHommeDepuisCinqMilleAns,1865,141268
Bigot,Nounlegos,1921,41363
Blanchere,SousLesEaux,1879,24251
Bleunard,LaBabyloneElectrique,1888,97621
Bleunard,LaPierrePhilosophale,1902,12804
Bleunard,LeSpiriteMalgreLui,1889,18360
Bleunard,ToujoursPlusPetits,1893,38490
Boussenard,DixMilleAnsDansUnBlocDeGlace,1889,28344
Boussenard,LesFrancaisAuPoleNord,1892,125022
Boussenard,LesGratteursDeCiel,1907,18130
Boussenard,LesSecretsDeMonsieurSynthese,1888,149921
Brat,ParisSeraTIlDetruitEn1936,1933,6297
Brown,VoyageADosDeBaleineAventureDuCapitaineBobKincardy,1876,61909
Calvet,DansMilleAns,1883,160884
Capus,LHommeBicycle,1893,1980
Chabannes,LeRayonQuiTue,1924,792
Chambon,CybeleVoyageExtraordinaireDansLAvenir,1891,77515
Champsaur,HomoDeusLeSatyreInvisible,1924,103679
Champsaur,LeDernierHomme,1885,1771
Champsaur,LePremierHomme,1885,1638
Chasseloup,LaDerniereBecasseDuBoisDeDarel,1880,3666
Chousy,Ignis,1883,85689
Cros,UnDrameInterastral,1872,2116
Danrit,FinDeLIslamDevantParis,1913,128217
Danrit,LeGrandPelerinageALaMecque,1913,95633
Danrit,MobilisationAfricaine,1913,93375
Danrit,UnDirigeableAuPoleNord,1908,61276
Danville,InAnimaVili,1893,2155
Daudet,LeNapusFleauDeLAn2227,1927,65568
Daudet,LesMorticoles,1894,118383
Daumal,LaGrandeBeuverie,1938,30603
Debans,LeFouDApresDemain,1899,2672
Debans,LeVainqueurDeLaMort,1895,6335
DeBoeck,LeconDonneeParMlleSophieMullerProfesseurDePsychiatrieALaCliniqueDeHambourgEnLAn2000,1890,1538
DeBozes,LArbreAnthropophage,1934,1550
Delines,CommentLeMondeFinira,1903,2572
Derennes,LePeupleDuPole,1907,51008
Derys,LAmourAParisEn2024,1924,1932
Derys,LEssenceDeBaiser,1898,1140
Epheyre,LeMicrobeDuProfesseurBakermannRecitDesTempsFuturs,1890,7114
ErckmannChatrian,LAraigneeCrabe,1860,4736
Eyraud,VoyageAVenus,1865,53376
Farrere,LaMaisonDesHommesVivants,1911,42302
Ferry,UnRomanEn1915,1888,71952
Flammarion,LaFinDuMonde,1894,72082
Flammarion,Lumen,1873,46959
Flammarion,Uranie,1889,52343
Fonvielle,FalempinOuLEspionAerien,1884,70001
