CHAPITRE	O
I	O
	
Retour	O
imprévu	O
aux	B-LOC
Martigues	I-LOC
(	I-LOC
Bouches	I-LOC
-	I-LOC
du	I-LOC
-	I-LOC
Rhône	I-LOC
)	O
du	B-PER
lieutenant	I-PER
Numa	I-PER
Honorat	I-PER
de	O
la	O
marine	O
française	O
et	O
préparatifs	O
du	O
mariage	O
de	O
mademoiselle	B-PER
Jeanne	I-PER
,	O
sa	O
soeur	O
,	O
avec	O
le	B-PER
jeune	O
Marius	B-PER
Foulane	I-PER
futur	O
notaire	O
.	O
	
—	O
Où	O
l'on	O
fait	O
la	O
connaissance	O
des	O
familles	B-PER
Honorat	I-PER
et	O
Foulane	B-PER
destinées	O
à	O
n'en	O
plus	O
faire	O
qu'une	O
seule	O
.	O
	
—	O
Idées	O
peu	O
ordinaires	O
que	O
Numa	B-PER
tenait	O
de	O
son	O
ancien	O
professeur	O
,	O
l'excentrique	O
M.	B-PER
Coral	I-PER
.	O
	
—	O
Véridique	O
théorie	O
d'Aché	B-PER
-	O
dias	O
sur	O
la	O
périodicité	O
des	O
déluges	O
universels	O
.	O
	
—	O
Triste	O
avenir	O
que	O
les	O
siècles	O
futurs	O
réservent	O
à	O
notre	O
hémisphère	O
fatalement	O
condamné	O
à	O
être	O
un	O
jour	O
presque	O
tout	O
entier	O
englouti	O
sous	O
les	O
flots	O
de	O
l'Océan	B-LOC
.	O
	
—	O
Émotions	O
d'une	O
veille	O
de	O
noces	O
,	O
et	O
réflexions	O
sublimes	O
de	O
l'amoureux	O
Marius	B-PER
.	O
	
—	O
Mais	O
,	O
c'est	O
bien	O
lui	O
!	O
	
C'est	O
Numa	B-PER
!	O
	
—	O
Ah	O
!	O
ce	O
cher	O
enfant	O
!	O
	
—	O
Ce	O
brave	O
ami	O
!	O
	
—	O
Mon	O
frère	O
chéri	O
!	O
	
—	O
Oh	O
!	O
	
l'excellente	O
surprise	O
!	O
	
C'est	O
par	O
ces	O
affectueuses	O
exclamations	O
que	O
se	O
voyait	O
accueilli	O
au	O
seuil	O
d'une	O
maison	O
de	O
belle	O
apparence	O
un	O
jeune	O
officier	O
de	O
marine	O
que	O
le	O
train	O
de	O
cinq	O
heures	O
du	O
soir	O
venait	O
d'amener	O
aux	B-LOC
Martigues	I-LOC
.	O
	
Numa	B-PER
Honorat	I-PER
,	O
presque	O
constamment	O
à	O
la	O
mer	O
,	O
tantôt	O
en	O
Extrême	B-LOC
-	I-LOC
Orient	I-LOC
,	O
où	O
il	O
avait	O
tenu	O
vaillamment	O
sa	O
place	O
parmi	O
les	O
braves	O
marins	O
de	O
l'amiral	B-PER
Courbet	I-PER
,	O
tantôt	O
en	O
quelque	O
station	O
lointaine	O
de	O
nos	O
établissements	O
des	B-LOC
Antilles	I-LOC
ou	O
de	O
Madagascar	B-LOC
,	O
ne	O
faisait	O
plus	O
que	O
de	O
rares	O
et	O
trop	O
courtes	O
apparitions	O
dans	O
sa	O
famille	O
.	O
	
Or	O
,	O
cette	O
fois	O
,	O
muni	O
d'un	O
plus	O
long	O
congé	O
que	O
d'habitude	O
	
,	O
il	O
venait	O
de	O
rentrer	O
en	O
France	B-LOC
à	O
bord	O
de	O
la	O
Revanche	O
,	O
après	O
avoir	O
échangé	O
,	O
à	O
vingt	O
-	O
huit	O
ans	O
,	O
le	O
grade	O
d'enseigne	O
pour	O
les	O
triples	O
galons	O
de	O
lieutenant	O
.	O
	
Entre	O
ceux	O
qui	O
s'empressaient	O
ainsi	O
autour	O
de	O
sa	O
personne	O
,	O
venait	O
d'abord	O
la	O
respectable	O
madame	B-PER
Honorat	I-PER
,	O
mère	O
du	O
jeune	O
officier	O
qui	O
,	O
appuyée	O
sur	O
l'épaule	O
du	O
marin	O
,	O
témoignait	O
la	O
joie	O
de	O
revoir	O
son	O
fils	O
,	O
comme	O
font	O
les	O
mères	O
,	O
avec	O
des	O
yeux	O
humides	O
;	O
	
doux	O
pleurs	O
bientôt	O
suivis	O
de	O
larmes	O
,	O
cette	O
fois	O
amères	O
,	O
au	O
souvenir	O
de	O
son	O
mari	O
,	O
souvenir	O
subitement	O
ranimé	O
par	O
la	O
présence	O
de	O
ce	O
portrait	O
tout	O
vivant	O
de	O
feu	O
le	B-PER
commandant	I-PER
Honorat	I-PER
,	O
tué	O
en	O
1871	O
au	B-LOC
fort	I-LOC
de	I-LOC
Vanves	I-LOC
par	O
un	O
obus	O
prussien	O
.	O
	
C'était	O
en	O
suite	O
une	O
charmante	O
jeune	O
fille	O
,	O
la	O
propre	O
soeur	O
de	O
Numa	B-PER
,	O
qui	O
s'attachait	O
radieuse	O
de	O
plaisir	O
à	O
l'autre	O
bras	O
de	O
l'officier	O
,	O
lequel	O
soutenait	O
ainsi	O
les	O
deux	O
femmes	O
,	O
répondait	O
tout	O
souriant	O
aux	O
questions	O
pressées	O
de	O
son	O
ami	O
