C	O
'	O
est	O
tout	O
de	O
même	O
une	O
singulière	O
chose	O
que	O
l	O
'	O
existence	O
,	O
se	O
disait	O
Titoine	B-PER
Pelquier	I-PER
(	O
Antoine	B-PER
Pelletier	I-PER
)	O
en	O
mettant	O
les	O
pieds	O
sur	O
le	O
débarcadère	O
du	B-LOC
‘	I-LOC
Grand	I-LOC
Central	I-LOC
Terminal	I-LOC
Station	I-LOC
”	O
à	O
NewYork	B-LOC
.	O

Il	O
promena	O
tout	O
d	O
'	O
abord	O
un	O
regard	O
circulaire	O
autour	O
de	O
lui	O
,	O
considéra	O
la	O
foule	O
énorme	O
qui	O
l	O
'	O
environneit	O
de	O
toutes	O
parts	O
,	O
et	O
se	O
laissant	O
pousser	O
par	O
la	O
cohue	O
il	O
parvint	O
à	O
une	O
des	O
portes	O
donnant	O
sur	O
la	O
quarante	O
-	O
deuxième	O
rue	O
.	O

Une	O
fois	O
sur	O
le	O
trottoir	O
il	O
jeta	O
un	O
oeil	O
indécis	O
sur	O
ce	O
qui	O
l	O
'	O
entourait	O
,	O
puis	O
ne	O
put	O
s	O
'	O
empêcher	O
d	O
'	O
aëmirer	O
les	O
flots	O
de	O
lumières	O
étincelantes	O
s	O
'	O
échappant	O
des	O
enseignes	O
électriques	O
,	O
il	O
con	O
:	O
.dJéra	B-PER
avec	O
un	O
intérêt	O
mitigé	O
de	O
terreur	O
le	O
va	O
-	O
et	O
-	O
vient	O
des	O
automobiles	O
et	O
des	O
tramways	O
et	O
se	O
demanda	O
comment	O
il	O
allait	O
sortir	O
de	O
ce	O
tumulte	O
.	O
“	O
Tout	O
cela	O
c	O
'	O
est	O
dien	O
beau	O
,	O
se	O
disait	O
-	O
il	O
,	O
c	O
'	O
est	O
comme	O
on	O
4	O
rait	O
en	O
grand	O
ce	O
que	O
l	O
'	O
on	O
voit	O
sur	O
le	B-LOC
boulevard	I-LOC
St	I-LOC
-	I-LOC
Laurent	I-LOC
.	O

Mai	O
:	O
il	O
va	O
me	O
falloir	O
trouver	O
un	O
hôtel	O
.	O

Je	O
me	O
suis	O
laissé	O
dire	O
qu	O
'	O
à	O
New	B-LOC
York	B-LOC
il	O
y	O
en	O
avait	O
pour	O
tous	O
lies	O
goûts	O
.	O

Cependant	O
il	O
ne	O
faut	O
pas	O
que	O
j	O
'	O
oublie	O
que	O
ma	O
bourse	O
n	O
'	O
est	O
pas	O
illimitée	O
,	O
que	O
mes	O
économies	O
,	O
quoique	O
grassouillettes	O
,	O
ne	O
peuvent	O
durer	O
éternellement	O
,	O
et	O
il	O
me	O
faut	O
songer	O
aux	O
jours	O
futurs	O
.	O
”	O

Su	O
souvenant	O
des	O
conseils	O
d	O
'	O
un	O
ami	O
qui	O
,	O
lui	O
,	O
avait	O
vécu	O
à	O
New	B-LOC
York	B-LOC
,	O
il	O
avisa	O
un	O
agent	O
de	O
police	O
et	O
dans	O
un	O
anglais	O
qui	O
eñt	O
fait	O
frémir	O
un	O
linguiste	O
même	O
indulgent	O
,	O
il	O
lui	O
demanda	O
ce	O
qu	O
'	O
il	O
