—	O
I	O
UI	O
,	O
mes	O
petits	O
,	O
c	O
'	O
est	O
moi	O
,	O
le	B-PER
père	I-PER
Yver	I-PER
-	O
naux	O
,	O
qui	O
vous	O
le	O
dis	O
!	O
	
Et	O
pas	O
ironiquement	O
,	O
en	O
farceur	O
à	O
froid	O
,	O
en	O
humouriste	O
boréal	O
!	O
	
Et	O
pas	O
non	O
plus	O
,	O
comme	O
vous	O
pourriez	O
le	O
croire	O
,	O
parce	O
que	O
,	O
de	O
demi	O
en	O
demi	O
,	O
j	O
'	O
en	O
ai	O
bu	O
une	O
bonne	O
demi	O
-	O
douzaine	O
de	O
trop	O
,	O
grâce	O
à	O
quoi	O
,	O
cette	O
chute	O
supplémentaire	O
de	O
liquide	O
activant	O
le	O
débit	O
de	O
mon	O
moulin	O
à	O
paroles	O
...	O
	
Mais	O
le	O
boniment	O
eut	O
soudain	O
sa	O
phrase	O
à	O
traînes	O
déchiquetée	O
d	O
'	O
avance	O
par	O
une	O
fusillade	O
d	O
'	O
interruptions	O
violentes	O
,	O
qui	O
éclatèrent	O
de	O
tous	O
les	O
côtés	O
à	O
la	O
fois	O
.	O
	
Sans	O
méchanceté	O
,	O
d	O
'	O
ailleurs	O
,	O
plutôt	O
rieuses	O
et	O
tournant	O
les	O
choses	O
à	O
la	O
blague	O
,	O
comme	O
il	O
était	O
naturel	O
envers	O
un	O
sexagénaire	O
d	O
'	O
ivresse	O
bavarde	O
,	O
dans	O
une	O
réunion	O
de	O
jeunes	O
gens	O
qui	O
étaient	O
ses	O
amis	O
.	O
	
Et	O
ce	O
fut	O
un	O
feu	O
croisé	O
de	O
:	O
	
—	O
Assez	O
!	O
	
Assez	O
!	O
	
Fermez	O
l	O
'	O
orateur	O
!	O
	
—	O
Zut	O
au	O
sirop	O
de	O
palabre	O
!	O
	
—	O
Un	O
dernier	O
demi	O
dans	O
sa	O
barbe	O
!	O
	
—	O
Et	O
qu	O
'	O
on	O
la	O
couche	O
,	O
la	O
barbe	O
!	O
	
—	O
A	O
la	B-LOC
Chambre	I-LOC
,	O
le	B-PER
père	I-PER
Yvernaux	I-PER
!	O
	
—	O
Assis	O
,	O
le	B-PER
Père	I-PER
éternel	I-PER
!	O
	
Et	O
encore	O
bien	O
d	O
'	O
autres	O
apostrophes	O
,	O
plus	O
ou	O
moins	O
spirituelles	O
,	O
devant	O
lesquelles	O
le	O
bonhomme	O
interpellé	O
finit	O
,	O
en	O
effet	O
,	O
par	O
se	O
rasseoir	O
,	O
prenant	O
les	O
choses	O
,	O
lui	O
aussi	O
,	O
gaiement	O
,	O
avec	O
un	O
sourire	O
épanoui	O
à	O
même	O
un	O
nouveau	O
demi	O
,	O
le	O
nez	O
dans	O
son	O
verre	O
et	O
la	O
bière	O
dans	O
sa	O
barbe	O
.	O
	
Et	O
de	O
quoi	O
se	O
serait	O
-	O
il	O
fâché	O
,	O
donc	O
,	O
le	O
brave	O
et	O
digne	O
père	B-PER
Yvernaux	I-PER
,	O
parmi	O
les	O
compagnons	O
de	O
son	O
choix	O
;	O
en	O
ce	O
milieu	O
où	O
il	O
se	O
savait	O
aimé	O
,	O
compris	O
,	O
souvent	O
même	O
admiré	O
par	O
tous	O
et	O
,	O
pour	O
quelques	O
-	O
uns	O
,	O
une	O
sorte	O
de	O
dieu	O
?	O
	
—	O
Le	O
vrai	O
milieu	O
,	O
disait	O
-	O
il	O
,	O
qu	O
'	O
il	O
faut	O
à	O
un	O
penseur	O
du	O
vingtième	O
siècle	O
!	O
	
Or	O
,	O
ce	O
penseur	O
,	O
et	O
(	O
jusqu	O
'	O
à	O
nouvel	O
ordre	O
)	O
le	O
penseur	O
du	O
siècle	O
nouveau	O
,	O
voilà	O
ce	O
qu	O
'	O
il	O
estimait	O
être	O
en	O
personne	O
,	O
lui	O
,	O
le	B-PER
père	I-PER
Yvernaux	I-PER
,	O
agrégé	O
raté	O
de	O
philosophie	O
,	O
mais	O
docteur	O
ès	O
lettres	O
quand	O
même	O
,	O
et	O
le	O
doyen	O
des	O
étudiants	O
,	O
puisque	O
,	O
présentement	O
encore	O
,	O
il	O
suivait	O
les	O
leçons	O
de	O
Metchnikoff	B-PER
et	O
venait	O
,	O
à	O
soixante	O
-	O
deux	O
ans	O
sonnés	O
,	O
de	O
se	O
faire	O
inscrire	O
au	O
cours	O
libre	O
de	O
Doyen	B-PER
.	O
Il	O
en	O
était	O
fier	O
,	O
du	O
reste	O
,	O
et	O
à	O
juste	O
titre	O
,	O
se	O
faisant	O
gloire	O
d	O
'	O
apprendre	O
toujours	O
.	O
	
Et	O
on	O
le	O
chérissait	O
singulièrement	O
à	O
cause	O
de	O
ce	O
décanat	O
dis	O
-	O
cipulaire	O
(	O
selon	O
son	O
expression	O
)	O
dans	O
ce	O
milieu	O
spécial	O
qu	O
'	O
il	O
avait	O
,	O
lui	O
,	O
en	O
dilection	O
si	O
forte	O
.	O
	
De	O
fait	O
,	O
le	O
milieu	O
était	O
passionnant	O
et	O
passionné	O
,	O
en	O
vérité	O
tout	O
neuf	O
et	O
bien	O
du	O
vingtième	O
siècle	O
,	O
tel	O
qu	O
'	O
on	O
l	O
'	O
eût	O
cherché	O
en	O
vain	O
voilà	O
seulement	O
quinze	O
ans	O
,	O
avant	O
les	O
dernières	O
années	O
du	O
dernier	O
millésime	O
.	O
	
C	O
'	O
était	O
pourtant	O
,	O
tout	O
bonnement	O
,	O
sans	O
plus	O
,	O
une	O
brasserie	O
du	B-LOC
quartier	I-LOC
Latin	I-LOC
,	O
mais	O
située	O
aux	O
confins	O
du	B-LOC
pays	I-LOC
des	I-LOC
Ecoles	I-LOC
et	O
sur	O
la	O
frontière	O
de	O
Montrouge	B-LOC
;	O
et	O
il	O
semblait	O
que	O
fût	O
en	O
train	O
de	O
s	O
'	O
y	O
opérer	O
l	O
'	O
amalgame	O
des	O
deux	O
mondes	O
si	O
longtemps	O
ennemis	O
.	O
	
la	O
bourgeoisie	O
et	O
le	O
peuple	O
.	O
	
Ici	O
,	O
en	O
effet	O
,	O
se	O
rencontraient	O
,	O
le	O
soir	O
,	O
et	O
frater	O
-	O
nisaient	O
,	O
et	O
communiaient	O
en	O
d	O
'	O
amicales	O
discussions	O
,	O
des	O
intellectuels	O
à	O
la	O
façon	O
de	O
jadis	O
,	O
étudiants	O
,	O
carabins	O
,	O
gens	O
de	O
la	O
basoche	O
et	O
de	O
la	O
cagne	O
,	O
artistes	O
et	O
apprentis	O
écrivains	O
,	O
et	O
des	O
intellectuels	O
à	O
la	O
façon	O
d	O
'	O
aujourd	O
'	O
hui	O
,	O
presque	O
de	O
demain	O
,	O
mécaniciens	O
,	O
électriciens	O
,	O
chimistes	O
,	O
gens	O
des	B-ORG
Arts	I-ORG
et	I-ORG
Métiers	I-ORG
,	O
lecteurs	O
de	O
sciences	O
vulgarisées	O
et	O
de	O
chefs	O
-	O
d	O
'	O
oeuvre	O
à	O
bas	O
prix	O
.	O
	
Ceux	O
-	O
ci	O
s	O
'	O
intéressaient	O
aux	O
vieilles	O
et	O
fortes	O
humanités	O
des	O
autres	O
qui	O
,	O
en	O
retour	O
,	O
s	O
'	O
initiaient	O
aux	O
espérances	O
ardentes	O
des	O
modernes	O
conquistadors	O
de	O
la	O
Nature	O
.	O
Entré	O
là	O
