Le	le	DET	O	O	O
1er	premier	ADJ	O	O	O
août	août	NOUN	O	O	O
1884	1884	NUM	O	O	O
,	,	PUNCT	O	O	O
à	à	ADP	O	O	O
neuf	neuf	NUM	O	O	O
heures	heure	NOUN	O	O	O
du	de	ADP	O	O	O
matin	matin	NOUN	O	O	O
,	,	PUNCT	O	O	O
je	je	PRON	O	O	O
recevais	recevoir	VERB	O	O	O
une	un	DET	O	O	O
lettre	lettre	NOUN	O	O	O
de	de	ADP	O	O	O
mon	mon	DET	O	O	O
illustre	illustre	ADJ	O	O	O
ami	ami	NOUN	O	O	O
M.	m.	NOUN	O	O	O
Armand	armand	PROPN	O	O	O
Nérac	nérac	PROPN	O	O	O
,	,	PUNCT	O	O	O
ministre	ministre	NOUN	O	O	O
de	de	ADP	O	O	O
l'	le	DET	O	O	O
instruction	instruction	NOUN	O	O	O
publique	public	ADJ	O	O	O
:	:	PUNCT	O	O	O
ce	ce	DET	O	O	O
haut	haut	ADJ	O	O	O
personnage	personnage	NOUN	O	O	O
me	me	PRON	O	O	O
mandait	mander	VERB	O	O	O
par	par	ADP	O	O	O
devers	dever	NOUN	O	O	O
lui	luire	PRON	O	O	O
,	,	PUNCT	O	O	O
sans	sans	ADP	O	O	O
retard	retard	NOUN	O	O	O
.	.	PUNCT	O	O	O

A	à	ADP	O	O	O
dix	dix	NUM	O	O	O
heures	heure	NOUN	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
même	même	ADJ	O	O	O
jour	jour	NOUN	O	O	O
,	,	PUNCT	O	O	O
j'	je	PRON	O	O	O
étais	être	AUX	O	O	O
introduit	introduire	VERB	O	O	O
dans	dans	ADP	O	O	O
son	son	DET	O	O	O
cabinet	cabinet	NOUN	O	O	O
.	.	PUNCT	O	O	O

En	en	ADP	O	O	O
me	me	PRON	O	O	O
voyant	voir	VERB	O	O	O
entrer	entrer	VERB	O	O	O
,	,	PUNCT	O	O	O
M.	m.	NOUN	O	O	O
Nérac	nérac	PROPN	O	O	O
,	,	PUNCT	O	O	O
malgré	malgré	ADP	O	O	O
sa	son	DET	O	O	O
lourde	lourd	ADJ	O	O	O
corpulence	corpulence	NOUN	O	O	O
,	,	PUNCT	O	O	O
se	se	PRON	O	O	O
leva	lever	VERB	O	O	O
prestement	prestement	ADV	O	O	O
.	.	PUNCT	O	O	O

Il	il	PRON	O	O	O
me	me	PRON	O	O	O
tendit	tendre	VERB	O	O	O
la	le	DET	O	O	O
main	main	NOUN	O	O	O
et	et	CCONJ	O	O	O
,	,	PUNCT	O	O	O
tout	tout	ADV	O	O	O
aimable	aimable	ADJ	O	O	O
,	,	PUNCT	O	O	O
m'	me	PRON	O	O	O
obligea	obliger	VERB	O	O	O
de	de	ADP	O	O	O
m'	me	PRON	O	O	O
asseoir	asseoir	VERB	O	O	O
près	près	ADV	O	O	O
de	de	ADP	O	O	O
lui	luire	PRON	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Que	que	SCONJ	O	O	O
je	je	PRON	O	O	O
vous	vous	PRON	O	O	O
remercie	remercier	VERB	O	O	O
,	,	PUNCT	O	O	O
me	me	PRON	O	O	O
dit	dire	VERB	O	O	O
-	-	PRON	O	O	O
il	il	PRON	O	O	O
avec	avec	ADP	O	O	O
effusion	effusion	NOUN	O	O	O
,	,	PUNCT	O	O	O
d'	de	ADP	O	O	O
être	être	AUX	O	O	O
ainsi	ainsi	ADV	O	O	O
accouru	accourir	VERB	O	O	O
dès	dès	ADP	O	O	O
mon	mon	DET	O	O	O
premier	premier	ADJ	O	O	O
appel	appel	NOUN	O	O	O
!	!	PUNCT	O	O	O

Il	il	PRON	O	O	O
reprit	reprendre	VERB	O	O	O
sa	son	DET	O	O	O
place	place	NOUN	O	O	O
dans	dans	ADP	O	O	O
son	son	DET	O	O	O
fauteuil	fauteuil	NOUN	O	O	O
aux	à	ADP	O	O	O
superbes	superbe	ADJ	O	O	O
dorures	dorure	NOUN	O	O	O
,	,	PUNCT	O	O	O
parut	paraître	VERB	O	O	O
se	se	PRON	O	O	O
recueillir	recueillir	VERB	O	O	O
un	un	DET	O	O	O
instant	instant	NOUN	O	O	O
,	,	PUNCT	O	O	O
puis	pouvoir	CCONJ	O	O	O
,	,	PUNCT	O	O	O
devenant	devenir	VERB	O	O	O
étrangement	étrangement	ADV	O	O	O
solennel	solennel	ADJ	O	O	O
:	:	PUNCT	O	O	O
—	—	PUNCT	O	O	O
Monsieur	monsieur	NOUN	O	O	O
Chéraval	chéraval	PROPN	O	O	O
!	!	PUNCT	O	O	O
s'	se	PRON	O	O	O
écria	écrier	VERB	O	O	O
-	-	PRON	O	O	O
t	t	PRON	O	O	O
-	-	PRON	O	O	O
il	il	PRON	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
France	france	PROPN	O	O	O
emprunte	emprunter	VERB	O	O	O
aujourd'hui	aujourd'hui	ADV	O	O	O
ma	mon	DET	O	O	O
faible	faible	ADJ	O	O	O
voix	voix	NOUN	O	O	O
pour	pour	ADP	O	O	O
parler	parler	VERB	O	O	O
à	à	ADP	O	O	O
votre	votre	DET	O	O	O
patriotisme	patriotisme	NOUN	O	O	O
!	!	PUNCT	O	O	O

..	..	PUNCT	O	O	O
Elle	lui	PRON	O	O	O
réclame	réclame	VERB	O	O	O
impérieusement	impérieusement	ADV	O	O	O
de	de	ADP	O	O	O
vous	vous	PRON	O	O	O
un	un	DET	O	O	O
grand	grand	ADJ	O	O	O
...	...	PUNCT	O	O	O
un	un	DET	O	O	O
immense	immense	ADJ	O	O	O
service	service	NOUN	O	O	O
!	!	PUNCT	O	O	O

Il	il	PRON	O	O	O
avait	avoir	AUX	O	O	O
débité	débiter	VERB	O	O	O
cet	ce	DET	O	O	O
exorde	exorde	NOUN	O	O	O
avec	avec	ADP	O	O	O
l'	le	DET	O	O	O
emphase	emphase	NOUN	O	O	O
de	de	ADP	O	O	O
nos	notre	DET	O	O	O
avocats	avocat	NOUN	O	O	O
de	de	ADP	O	O	O
Gascogne	gascogne	PROPN	O	O	O
,	,	PUNCT	O	O	O
faisant	faire	AUX	O	O	O
ronfler	ronfler	VERB	O	O	O
les	le	DET	O	O	O
R	r	NOUN	O	O	O
et	et	CCONJ	O	O	O
résonner	résonner	VERB	O	O	O
les	le	DET	O	O	O
N	n	NOUN	O	O	O
,	,	PUNCT	O	O	O
magnifique	magnifique	ADJ	O	O	O
en	en	ADP	O	O	O
son	son	DET	O	O	O
parler	parler	NOUN	O	O	O
et	et	CCONJ	O	O	O
très	très	ADV	O	O	O
convaincu	convaincre	VERB	O	O	O
