PREMIÈRE	premier	ADJ	O	O	O
PARTIE	partie	NOUN	O	O	O
LES	le	DET	O	O	O
PRISONNIERS	prisonnier	NOUN	O	O	O
DE	de	ADP	O	O	O
LA	le	DET	O	O	O
MER	mer	NOUN	O	O	O
—	—	PUNCT	O	O	O
—	—	PUNCT	O	O	O
—	—	PUNCT	O	O	O
—	—	PUNCT	O	O	O
—	—	PUNCT	O	O	O
—	—	PUNCT	O	O	O
I	i	NOUN	O	O	O
COMMENT	comment	ADV	O	O	O
,	,	PUNCT	O	O	O
APRÈS	après	ADP	O	O	O
UN	un	DET	O	O	O
QUADRILLE	quadrille	NOUN	O	O	O
DÉSAGRÉABLE	désagréable	ADJ	O	O	O
,	,	PUNCT	O	O	O
UN	un	DET	O	O	O
LIEUTENANT	lieutenant	NOUN	O	O	O
DE	de	ADP	O	O	O
VAISSEAU	vaisseau	NOUN	O	O	O
FUT	être	VERB	O	O	O
CHARGÉ	charger	VERB	O	O	O
D	d	ADP	O	O	O
'	'	ADP	O	O	O
UNE	un	DET	O	O	O
MISSION	mission	NOUN	O	O	O
ÉGALEMENT	également	ADV	O	O	O
DÉSAGRÉABLE	désagréable	ADJ	O	O	O
Le	le	DET	O	O	O
jeudi	jeudi	NOUN	O	O	O
5	5	NUM	O	O	O
septembre	septembre	NOUN	O	O	O
1892	1892	NUM	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
bal	bal	NOUN	O	O	O
à	à	ADP	O	O	O
bord	bord	NOUN	O	O	O
du	de	ADP	O	O	O
cuirassé	cuirassé	NOUN	O	O	O
de	de	ADP	O	O	O
premier	premier	ADJ	O	O	O
rang	rang	NOUN	O	O	O
le	le	DET	O	O	O
Guichen	guichen	PROPN	O	O	O
,	,	PUNCT	O	O	O
battant	battre	VERB	O	O	O
pavillon	pavillon	NOUN	O	O	O
du	de	ADP	O	O	O
vice	vice	NOUN	O	O	O
-	-	NOUN	O	O	O
amiral	amiral	NOUN	O	O	O
de	de	ADP	O	O	O
la	le	DET	O	O	O
Rénolière	rénolière	PROPN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
ancré	ancrer	VERB	O	O	O
au	au	ADP	O	O	O
Pirée	pirée	PROPN	O	O	O
avec	avec	ADP	O	O	O
le	le	DET	O	O	O
reste	reste	NOUN	O	O	O
de	de	ADP	O	O	O
l	l	DET	O	O	O
'	'	DET	O	O	O
escadre	escadre	NOUN	O	O	O
.	.	PUNCT	O	O	O

Les	le	DET	O	O	O
vaisseaux	vaisseau	NOUN	O	O	O
français	français	ADJ	O	O	O
étaient	être	AUX	O	O	O
mouillés	mouiller	VERB	O	O	O
dans	dans	ADP	O	O	O
le	le	DET	O	O	O
port	port	NOUN	O	O	O
depuis	depuis	ADP	O	O	O
une	un	DET	O	O	O
semaine	semaine	NOUN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
suivant	suivant	ADP	O	O	O
la	le	DET	O	O	O
tradition	tradition	NOUN	O	O	O
remontant	remonter	VERB	O	O	O
à	à	ADP	O	O	O
la	le	DET	O	O	O
bataille	bataille	NOUN	O	O	O
de	de	ADP	O	O	O
Navarin	navarin	PROPN	O	O	O
,	,	PUNCT	O	O	O
qui	qui	PRON	O	O	O
unit	unir	VERB	O	O	O
profondément	profondément	ADV	O	O	O
notre	notre	DET	O	O	O
patrie	patrie	NOUN	O	O	O
et	et	CCONJ	O	O	O
la	le	DET	O	O	O
Grèce	grèce	PROPN	O	O	O
,	,	PUNCT	O	O	O
nos	notre	DET	O	O	O
officiers	officier	NOUN	O	O	O
et	et	CCONJ	O	O	O
nos	notre	DET	O	O	O
matelots	matelot	NOUN	O	O	O
avaient	avoir	AUX	O	O	O
été	être	AUX	O	O	O
,	,	PUNCT	O	O	O
pendant	pendant	ADP	O	O	O
cette	ce	DET	O	O	O
semaine	semaine	NOUN	O	O	O
,	,	PUNCT	O	O	O
fêtés	fêter	VERB	O	O	O
de	de	ADP	O	O	O
toutes	tout	ADJ	O	O	O
les	le	DET	O	O	O
manières	manière	NOUN	O	O	O
par	par	ADP	O	O	O
les	le	DET	O	O	O
Hellènes	hellène	NOUN	O	O	O
.	.	PUNCT	O	O	O

D	d	ADP	O	O	O
'	'	DET	O	O	O
autre	autre	ADJ	O	O	O
part	part	NOUN	O	O	O
,	,	PUNCT	O	O	O
il	il	PRON	O	O	O
y	y	PRON	O	O	O
avait	avoir	VERB	O	O	O
en	en	ADP	O	O	O
même	même	ADJ	O	O	O
temps	temps	NOUN	O	O	O
,	,	PUNCT	O	O	O
au	au	ADP	O	O	O
Pirée	pirée	PROPN	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
cuirassé	cuirassé	NOUN	O	O	O
russe	russe	ADJ	O	O	O
,	,	PUNCT	O	O	O
le	le	DET	O	O	O
Dimitri	dimitri	PROPN	O	O	O
-	-	PROPN	O	O	O
Donskoï	donskoï	PROPN	O	O	O
,	,	PUNCT	O	O	O
et	et	CCONJ	O	O	O
une	un	DET	O	O	O
frégate	frégate	NOUN	O	O	O
espagnole	espagnol	ADJ	O	O	O
,	,	PUNCT	O	O	O
la	le	DET	O	O	O
Almanza	almanza	PROPN	O	O	O
.	.	PUNCT	O	O	O

Au	au	ADP	O	O	O
lendemain	lendemain	NOUN	O	O	O
