Cette	ce	DET	O	O	O
histoire	histoire	NOUN	O	O	O
se	se	PRON	O	O	O
passera	passer	VERB	O	O	O
avant	avant	ADP	O	O	O
longtemps	longtemps	ADV	O	O	O
.	.	PUNCT	O	O	O

1	1	NUM	O	O	O

Un	un	DET	O	O	O
matin	matin	NOUN	O	O	O
,	,	PUNCT	O	O	O
un	un	DET	O	O	O
enfant	enfant	NOUN	O	O	O
vint	venir	VERB	O	O	O
au	au	ADP	O	O	O
monde	monde	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Comment	comment	ADV	O	O	O
l'	le	PRON	O	O	O
appeler	appeler	VERB	O	O	O
?	?	PUNCT	O	O	O
fit	faire	VERB	O	O	O
le	le	DET	O	O	O
père	père	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
To	to	PROPN	O	O	O
!	!	PUNCT	O	O	O
répondit	répondre	VERB	O	O	O
la	le	DET	O	O	O
mère	mère	NOUN	O	O	O
.	.	PUNCT	O	O	O

—	—	PUNCT	O	O	O
Ça	cela	PRON	O	O	O
va	aller	VERB	O	O	O
!	!	PUNCT	O	O	O

To	to	NOUN	O	O	O
;	;	PUNCT	O	O	O
un	un	DET	O	O	O
nom	nom	NOUN	O	O	O
court	court	ADJ	O	O	O
.	.	PUNCT	O	O	O

Perdrons	perdre	VERB	O	O	O
pas	pas	ADV	O	O	O
temps	temps	NOUN	O	O	O
à	à	ADP	O	O	O
le	le	PRON	O	O	O
prononcer	prononcer	VERB	O	O	O
.	.	PUNCT	O	O	O

Et	et	CCONJ	O	O	O
l'	le	DET	O	O	O
enfant	enfant	NOUN	O	O	O
s'	se	PRON	O	O	O
appela	appeler	VERB	O	O	O
To	to	PROPN	O	O	O
.	.	PUNCT	O	O	O

2	2	NUM	O	O	O

Le	le	DET	O	O	O
lendemain	lendemain	NOUN	O	O	O
de	de	ADP	O	O	O
sa	son	DET	O	O	O
naissance	naissance	NOUN	O	O	O
,	,	PUNCT	O	O	O
To	to	PROPN	O	O	O
fut	être	AUX	O	O	O
mis	mettre	VERB	O	O	O
par	par	ADP	O	O	O
ses	son	DET	O	O	O
parents	parent	NOUN	O	O	O
dans	dans	ADP	O	O	O
un	un	DET	O	O	O
