author,title,date_publication,nb_tokens,src
About,LeCasDeMGuerin,1862,19140,https://gallica.bnf.fr/ark:/12148/bpt6k205439f
About,LeNezDUnNotaire,1862,26342,https://fr.wikisource.org/wiki/Le_Nez_d%E2%80%99un_notaire
About,LHommeALOreilleCassee,1862,60566,https://gallica.bnf.fr/ark:/12148/bpt6k65118490
Adam,LeConteFutur,1893,5428,https://gallica.bnf.fr/ark:/12148/bpt6k1019054
Adam,LeTrust,1910,154354,https://gallica.bnf.fr/ark:/12148/bpt6k809301
Adam,LUsineInfernale,1925,19115,https://gallica.bnf.fr/ark:/12148/bpt6k945773w
Allorge,CielContreTerre,1924,59818,https://gallica.bnf.fr/ark:/12148/bpt6k9308896
Arosa,LesMysterieusesEtudesDuProfesseurKruhl,1912,5859,https://gallica.bnf.fr/ark:/12148/bpt6k102959n/f208.image
Asselineau,LeParadisDesGensDeLettres,1861,6661,https://gallica.bnf.fr/ark:/12148/bpt6k5831534k
AugustinThierry,MarfaLePalimpseste,1887,24718,https://gallica.bnf.fr/ark:/12148/bpt6k87134w
Austruy,LEupantophone,1904,16651,https://gallica.bnf.fr/ark:/12148/bpt6k360570;https://gallica.bnf.fr/ark:/12148/bpt6k36058b
Avray,VoyageDansLaLuneAvant1900,1892,3407,https://gallica.bnf.fr/ark:/12148/bpt6k6566575c
Balleyguier,SeulSurLOcean,1895,100140,https://gallica.bnf.fr/ark:/12148/bpt6k57063618
BarilletLagargousse,LaGuerreFinaleHistoireFantastique,1885,45469,https://gallica.bnf.fr/ark:/12148/bpt6k58190712
Barthe,SimiliaSimilibusOuLaGuerreAuCanada,1916,43550,https://archive.org/details/similiasimilibus00bart/page/52/mode/2up
Beliard,TouteLaNatureDansLaMelee,1918,4832,https://gallica.bnf.fr/ark:/12148/bpt6k6548490s/f239.image
Bertal,AventuresFantastiquesDeMartialBadochet,1887,14887,https://gallica.bnf.fr/ark:/12148/bpt6k68621r
Berthoud,LeSecondSoleil,1862,10420,https://gallica.bnf.fr/ark:/12148/bpt6k202592b/f365.image
Berthoud,LHommeDepuisCinqMilleAns,1865,141268,https://gallica.bnf.fr/ark:/12148/bpt6k6517249s
Bigot,Nounlegos,1921,41363,https://archive.org/details/nounlegoslhommeq00bigo/page/n3/mode/2up
Blanchere,SousLesEaux,1879,24251,https://gallica.bnf.fr/ark:/12148/bpt6k398735.r=
Bleunard,LaBabyloneElectrique,1888,97621,https://gallica.bnf.fr/ark:/12148/bpt6k5720326h
Bleunard,LaPierrePhilosophale,1902,12804,http://livres.gloubik.info/IMG/pdf/la_pierre_philosophale.pdf
Bleunard,LeSpiriteMalgreLui,1889,18360,https://gallica.bnf.fr/ark:/12148/bpt6k5656253h
Bleunard,ToujoursPlusPetits,1893,38490,https://gallica.bnf.fr/ark:/12148/bpt6k5741548n
Boussenard,DixMilleAnsDansUnBlocDeGlace,1889,28344,https://gallica.bnf.fr/ark:/12148/bpt6k123103x/f490.image
Boussenard,LesFrancaisAuPoleNord,1892,125022,https://gallica.bnf.fr/ark:/12148/bpt6k1230765
Boussenard,LesGratteursDeCiel,1907,18130,https://gallica.bnf.fr/ark:/12148/bpt6k104590x.image.langFR.r=Journal%20des%20voyages
Boussenard,LesSecretsDeMonsieurSynthese,1888,149921,https://gallica.bnf.fr/ark:/12148/bpt6k123103x
Brat,ParisSeraTIlDetruitEn1936,1933,6297,https://gallica.bnf.fr/ark:/12148/bpt6k54213085/f2.item#
Brown,VoyageADosDeBaleineAventureDuCapitaineBobKincardy,1876,61909,https://gallica.bnf.fr/ark:/12148/bpt6k6495788z
Calvet,DansMilleAns,1883,160884,https://gallica.bnf.fr/ark:/12148/bpt6k56266495/f8.image
Capus,LHommeBicycle,1893,1980,https://gallica.bnf.fr/ark:/12148/bpt6k5814405w
Chabannes,LeRayonQuiTue,1924,792,http://archeosf.publie.net/le-rayon-qui-tue/
Chambon,CybeleVoyageExtraordinaireDansLAvenir,1891,77515,https://gallica.bnf.fr/ark:/12148/bpt6k69098x
Champsaur,HomoDeusLeSatyreInvisible,1924,103679,https://gallica.bnf.fr/ark:/12148/bpt6k37209x
Champsaur,LeDernierHomme,1885,1771,https://gallica.bnf.fr/ark:/12148/bpt6k5784086n
Champsaur,LePremierHomme,1885,1638,https://gallica.bnf.fr/ark:/12148/bpt6k5784086n
Chasseloup,LaDerniereBecasseDuBoisDeDarel,1880,3666,https://gallica.bnf.fr/ark:/12148/bpt6k33860c/f113.item
Chousy,Ignis,1883,85689,https://gallica.bnf.fr/ark:/12148/bpt6k99756j
Cros,UnDrameInterastral,1872,2116,https://gallica.bnf.fr/ark:/12148/bpt6k6268812s/f3.item.r=(prOx:%20%22charles%20cros%22%20300%20%22drame%20interastral%22)
Danrit,FinDeLIslamDevantParis,1913,128217,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&collapsing=disabled&query=dc.relation%20all%20%22cb320447022%22
Danrit,LeGrandPelerinageALaMecque,1913,95633,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&collapsing=disabled&query=dc.relation%20all%20%22cb320447022%22
